id,track_name,period,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature,popularity
4u5Zo8WsT8SQXASYJ1sm1p,プレリュードヘ長調/BWV927,バロック,ヨハン・セバスティアン・バッハ,0.996721311,0.824771008,0.266650828,0.75257513,0.923204679,0.095633188,0.319780171,0.538484727,1,5,46467,1,7
3Q65V5YMulJ71lIY0FuVtL,トッカータ ホ短調 BWV914 後半,バロック,ヨハン・セバスティアン・バッハ,0.996721311,0.334926324,0.004229033,0.202506106,0.91398924,0.073362445,0.331212859,0.641948017,0,4,191800,4,7
0Gg9gzE8AmGyljeeffGPTi,12の練習曲 L.136 第2巻 VIII- 装飾音のための,印象派,クロード・ドビュッシー,0.990163934,0.403955927,0.052189752,0.068917914,0.944707369,0.094759825,0.706754613,0.442926045,1,5,293733,4,1
2ys99TL7Y8OuJj3zu0oANO,ブルクミュラー25の練習曲: 5. 無邪気,ロマン派前期,ヨハン・ブルグミュラー,0.97704918,0.409265897,0.198542805,0.415949878,0.916037116,0.076419214,0.414810554,0.712922026,1,5,62467,3,6
1h2dtfHSC82KXI7bxfKULm,ピアノ・ソナタ 第7番 ハ長調 K.309 - 第3楽章 Rondo - Allegretto grazioso,古典派,ヴォルフガング・アマデウス・モーツァルト,0.993442623,0.414575866,0.074047676,0.044069236,0.943683431,0.029257642,0.262047049,0.688337353,1,0,365427,4,5
0jw8GDPL9MgrXBK1Ub7aZb,ピアノ・ソナタ 第14番 嬰ハ短調 作品27-2¢月光》第二楽章,古典派,ルートヴィヒ・ヴァン・ベートーヴェン,0.980327869,0.224744458,0.087986062,0.005203356,0.908869552,0.145851528,0.190401457,0.503885316,1,1,129718,4,5
37ej3sQF5q1oEPhLf1B95o,ワルツ集 作品 39 15 変イ長調,ロマン派中期,ヨハネス・ブラームス,0.803278689,0.411920881,0.374356538,0.209939471,0.870983861,0.016593886,0.405896743,0.382569668,0,0,79867,3,0
1CvO2F9l1Wygelc1L5B4PA,5. ソナタ Hob.XVI:34: III. Finale Molto vivace,古典派,フランツ・ヨーゼフ・ハイドン,0.993442623,0.715916634,0.046646076,0.198258469,0.936515868,0.040174672,0.479754032,0.761220525,1,4,146693,4,0
2nP5iEVTBVyLTNh9u2tUjP,"Piano Sonata in E flat, H.XVI No. 49: 1. Allegro",古典派,フランツ・ヨーゼフ・ハイドン,0.980327869,0.438470729,0.255563475,0.254539662,0.950850994,0.057641921,0.526534784,0.533628081,1,3,634000,3,17
7uyqONudkssj2qAZ5CIAiU,9. ソナタ K.No.283: III. Presto,古典派,ヴォルフガング・アマデウス・モーツァルト,0.990163934,0.300411523,0.018610913,0.014654348,0.953922807,0.043668122,0.493258791,0.762861736,1,7,211120,4,0
1FADCvKypk8lP8tMFd6JSp,ショパン:ワルツ第10番 ロ短調 作品69の2(遺作),ロマン派前期,フレデリック・ショパン,1,0.596442321,0.021620337,0.327811405,0.989760624,0.077292576,0.215366829,0.41767149,0,11,228067,4,8
